Nest,NumAnts,NestType,Pheromone Strength,Simulation,
D2,0,D,20,24,FALSE
D4,0,D,20,24,FALSE
R1,41,R,20,25,FALSE
R2,0,R,20,25,FALSE
R3,4,R,20,25,FALSE
R4,0,R,20,25,FALSE
D1,55,D,20,25,FALSE
D3,0,D,20,25,FALSE
D2,0,D,20,25,FALSE
D4,0,D,20,25,FALSE
R1,57,R,20,26,FALSE
R2,0,R,20,26,FALSE
R3,2,R,20,26,FALSE
R4,0,R,20,26,FALSE
D1,41,D,20,26,FALSE
D3,0,D,20,26,FALSE
D2,0,D,20,26,FALSE
D4,0,D,20,26,FALSE
R1,46,R,20,27,FALSE
R2,0,R,20,27,FALSE
R3,4,R,20,27,FALSE
R4,0,R,20,27,FALSE
D1,50,D,20,27,FALSE
D3,0,D,20,27,FALSE
D2,0,D,20,27,FALSE
D4,0,D,20,27,FALSE
R1,52,R,20,28,FALSE
R2,0,R,20,28,FALSE
R3,6,R,20,28,FALSE
R4,0,R,20,28,FALSE
D1,42,D,20,28,FALSE
D3,0,D,20,28,FALSE
D2,0,D,20,28,FALSE
D4,0,D,20,28,FALSE
R1,38,R,20,29,FALSE
R2,0,R,20,29,FALSE
R3,5,R,20,29,FALSE
R4,0,R,20,29,FALSE
D1,57,D,20,29,FALSE
D3,0,D,20,29,FALSE
D2,0,D,20,29,FALSE
D4,0,D,20,29,FALSE
R1,40,R,20,30,FALSE
R2,0,R,20,30,FALSE
R3,3,R,20,30,FALSE
R4,0,R,20,30,FALSE
D1,57,D,20,30,FALSE
D3,0,D,20,30,FALSE
D2,0,D,20,30,FALSE
D4,0,D,20,30,FALSE
R1,45,R,20,31,FALSE
R2,0,R,20,31,FALSE
R3,0,R,20,31,FALSE
R4,0,R,20,31,FALSE
D1,55,D,20,31,FALSE
D3,0,D,20,31,FALSE
D2,0,D,20,31,FALSE
D4,0,D,20,31,FALSE
R1,50,R,20,32,FALSE
R2,0,R,20,32,FALSE
R3,2,R,20,32,FALSE
R4,0,R,20,32,FALSE
D1,48,D,20,32,FALSE
D3,0,D,20,32,FALSE
D2,0,D,20,32,FALSE
D4,0,D,20,32,FALSE
R1,44,R,20,33,FALSE
R2,0,R,20,33,FALSE
R3,12,R,20,33,FALSE
R4,0,R,20,33,FALSE
D1,44,D,20,33,FALSE
D3,0,D,20,33,FALSE
D2,0,D,20,33,FALSE
D4,0,D,20,33,FALSE
R1,39,R,20,34,FALSE
R2,0,R,20,34,FALSE
R3,2,R,20,34,FALSE
R4,0,R,20,34,FALSE
D1,59,D,20,34,FALSE
D3,0,D,20,34,FALSE
D2,0,D,20,34,FALSE
D4,0,D,20,34,FALSE
R1,42,R,20,35,FALSE
R2,0,R,20,35,FALSE
R3,4,R,20,35,FALSE
R4,0,R,20,35,FALSE
D1,54,D,20,35,FALSE
D3,0,D,20,35,FALSE
D2,0,D,20,35,FALSE
D4,0,D,20,35,FALSE
R1,47,R,20,36,FALSE
R2,0,R,20,36,FALSE
R3,4,R,20,36,FALSE
R4,0,R,20,36,FALSE
D1,49,D,20,36,FALSE
D3,0,D,20,36,FALSE
D2,0,D,20,36,FALSE
D4,0,D,20,36,FALSE
R1,47,R,20,37,FALSE
R2,0,R,20,37,FALSE
R3,6,R,20,37,FALSE
R4,0,R,20,37,FALSE
D1,47,D,20,37,FALSE
D3,0,D,20,37,FALSE
D2,0,D,20,37,FALSE
D4,0,D,20,37,FALSE
R1,47,R,20,38,FALSE
R2,0,R,20,38,FALSE
R3,2,R,20,38,FALSE
R4,0,R,20,38,FALSE
D1,51,D,20,38,FALSE
D3,0,D,20,38,FALSE
D2,0,D,20,38,FALSE
D4,0,D,20,38,FALSE
R1,46,R,20,39,FALSE
R2,0,R,20,39,FALSE
R3,3,R,20,39,FALSE
R4,0,R,20,39,FALSE
D1,51,D,20,39,FALSE
D3,0,D,20,39,FALSE
D2,0,D,20,39,FALSE
D4,0,D,20,39,FALSE
R1,32,R,20,40,FALSE
R2,0,R,20,40,FALSE
R3,3,R,20,40,FALSE
R4,0,R,20,40,FALSE
D1,65,D,20,40,FALSE
D3,0,D,20,40,FALSE
D2,0,D,20,40,FALSE
D4,0,D,20,40,FALSE
R1,35,R,20,41,FALSE
R2,0,R,20,41,FALSE
R3,9,R,20,41,FALSE
R4,0,R,20,41,FALSE
D1,56,D,20,41,FALSE
D3,0,D,20,41,FALSE
D2,0,D,20,41,FALSE
D4,0,D,20,41,FALSE
R1,49,R,20,42,FALSE
R2,0,R,20,42,FALSE
R3,0,R,20,42,FALSE
R4,0,R,20,42,FALSE
D1,50,D,20,42,FALSE
D3,0,D,20,42,FALSE
D2,0,D,20,42,FALSE
D4,0,D,20,42,FALSE
R1,52,R,20,43,FALSE
R2,0,R,20,43,FALSE
R3,0,R,20,43,FALSE
R4,0,R,20,43,FALSE
D1,48,D,20,43,FALSE
D3,0,D,20,43,FALSE
D2,0,D,20,43,FALSE
D4,0,D,20,43,FALSE
