Nest,NumAnts ,NestType,Pheromone Strength,Simulation,
D2,0,D,20,15,FALSE
D1,39,D,20,15,FALSE
D3,0,D,20,15,FALSE
R1,29,R,20,16,FALSE
R2,31,R,20,16,FALSE
R3,0,R,20,16,FALSE
D2,0,D,20,16,FALSE
D1,40,D,20,16,FALSE
D3,0,D,20,16,FALSE
R1,24,R,20,17,FALSE
R2,32,R,20,17,FALSE
R3,0,R,20,17,FALSE
D2,0,D,20,17,FALSE
D1,44,D,20,17,FALSE
D3,0,D,20,17,FALSE
R1,25,R,20,18,FALSE
R2,35,R,20,18,FALSE
R3,0,R,20,18,FALSE
D2,0,D,20,18,FALSE
D1,40,D,20,18,FALSE
D3,0,D,20,18,FALSE
R1,29,R,20,19,FALSE
R2,38,R,20,19,FALSE
R3,0,R,20,19,FALSE
D2,0,D,20,19,FALSE
D1,33,D,20,19,FALSE
D3,0,D,20,19,FALSE
R1,33,R,20,20,FALSE
R2,37,R,20,20,FALSE
R3,0,R,20,20,FALSE
D2,0,D,20,20,FALSE
D1,30,D,20,20,FALSE
D3,0,D,20,20,FALSE
R1,27,R,20,21,FALSE
R2,27,R,20,21,FALSE
R3,0,R,20,21,FALSE
D2,0,D,20,21,FALSE
D1,46,D,20,21,FALSE
D3,0,D,20,21,FALSE
R1,33,R,20,22,FALSE
R2,22,R,20,22,FALSE
R3,0,R,20,22,FALSE
D2,0,D,20,22,FALSE
D1,45,D,20,22,FALSE
D3,0,D,20,22,FALSE
R1,20,R,20,23,FALSE
R2,39,R,20,23,FALSE
R3,0,R,20,23,FALSE
D2,0,D,20,23,FALSE
D1,41,D,20,23,FALSE
D3,0,D,20,23,FALSE
R1,27,R,20,24,FALSE
R2,21,R,20,24,FALSE
R3,0,R,20,24,FALSE
D2,0,D,20,24,FALSE
D1,52,D,20,24,FALSE
D3,0,D,20,24,FALSE
R1,23,R,20,25,FALSE
R2,30,R,20,25,FALSE
R3,0,R,20,25,FALSE
D2,0,D,20,25,FALSE
D1,47,D,20,25,FALSE
D3,0,D,20,25,FALSE
R1,32,R,20,26,FALSE
R2,24,R,20,26,FALSE
R3,0,R,20,26,FALSE
D2,0,D,20,26,FALSE
D1,44,D,20,26,FALSE
D3,0,D,20,26,FALSE
R1,29,R,20,27,FALSE
R2,29,R,20,27,FALSE
R3,0,R,20,27,FALSE
D2,0,D,20,27,FALSE
D1,42,D,20,27,FALSE
D3,0,D,20,27,FALSE
R1,28,R,20,28,FALSE
R2,33,R,20,28,FALSE
R3,0,R,20,28,FALSE
D2,0,D,20,28,FALSE
D1,39,D,20,28,FALSE
D3,0,D,20,28,FALSE
R1,20,R,20,29,FALSE
R2,28,R,20,29,FALSE
R3,0,R,20,29,FALSE
D2,0,D,20,29,FALSE
D1,52,D,20,29,FALSE
D3,0,D,20,29,FALSE
R1,28,R,20,30,FALSE
R2,32,R,20,30,FALSE
R3,0,R,20,30,FALSE
D2,0,D,20,30,FALSE
D1,40,D,20,30,FALSE
D3,0,D,20,30,FALSE
R1,26,R,20,31,FALSE
R2,26,R,20,31,FALSE
R3,0,R,20,31,FALSE
D2,0,D,20,31,FALSE
D1,48,D,20,31,FALSE
D3,0,D,20,31,FALSE
R1,31,R,20,32,FALSE
R2,31,R,20,32,FALSE
R3,0,R,20,32,FALSE
D2,0,D,20,32,FALSE
D1,38,D,20,32,FALSE
D3,0,D,20,32,FALSE
R1,27,R,20,33,FALSE
R2,34,R,20,33,FALSE
R3,0,R,20,33,FALSE
D2,0,D,20,33,FALSE
D1,39,D,20,33,FALSE
D3,0,D,20,33,FALSE
R1,25,R,20,34,FALSE
R2,38,R,20,34,FALSE
R3,0,R,20,34,FALSE
D2,0,D,20,34,FALSE
D1,37,D,20,34,FALSE
D3,0,D,20,34,FALSE
R1,30,R,20,35,FALSE
R2,30,R,20,35,FALSE
R3,0,R,20,35,FALSE
D2,0,D,20,35,FALSE
D1,40,D,20,35,FALSE
D3,0,D,20,35,FALSE
R1,24,R,20,36,FALSE
R2,37,R,20,36,FALSE
R3,0,R,20,36,FALSE
D2,0,D,20,36,FALSE
D1,39,D,20,36,FALSE
D3,0,D,20,36,FALSE
R1,29,R,20,37,FALSE
R2,24,R,20,37,FALSE
R3,0,R,20,37,FALSE
D2,0,D,20,37,FALSE
D1,47,D,20,37,FALSE
D3,0,D,20,37,FALSE
R1,24,R,20,38,FALSE
R2,25,R,20,38,FALSE
R3,0,R,20,38,FALSE
D2,0,D,20,38,FALSE
D1,51,D,20,38,FALSE
D3,0,D,20,38,FALSE
R1,34,R,20,39,FALSE
R2,27,R,20,39,FALSE
R3,0,R,20,39,FALSE
D2,0,D,20,39,FALSE
D1,39,D,20,39,FALSE
D3,0,D,20,39,FALSE
R1,30,R,20,40,FALSE
R2,35,R,20,40,FALSE
R3,0,R,20,40,FALSE
D2,0,D,20,40,FALSE
D1,35,D,20,40,FALSE
D3,0,D,20,40,FALSE
R1,27,R,20,41,FALSE
R2,23,R,20,41,FALSE
R3,0,R,20,41,FALSE
D2,0,D,20,41,FALSE
D1,50,D,20,41,FALSE
D3,0,D,20,41,FALSE
R1,31,R,20,42,FALSE
R2,23,R,20,42,FALSE
R3,0,R,20,42,FALSE
D2,0,D,20,42,FALSE
D1,46,D,20,42,FALSE
D3,0,D,20,42,FALSE
R1,25,R,20,43,FALSE
R2,38,R,20,43,FALSE
R3,0,R,20,43,FALSE
D2,0,D,20,43,FALSE
D1,37,D,20,43,FALSE
D3,0,D,20,43,FALSE
R1,34,R,20,44,FALSE
R2,25,R,20,44,FALSE
R3,0,R,20,44,FALSE
D2,0,D,20,44,FALSE
D1,41,D,20,44,FALSE
D3,0,D,20,44,FALSE
R1,31,R,20,45,FALSE
R2,33,R,20,45,FALSE
R3,0,R,20,45,FALSE
D2,0,D,20,45,FALSE
D1,36,D,20,45,FALSE
D3,0,D,20,45,FALSE
R1,25,R,20,46,FALSE
R2,29,R,20,46,FALSE
R3,0,R,20,46,FALSE
D2,0,D,20,46,FALSE
D1,46,D,20,46,FALSE
D3,0,D,20,46,FALSE
R1,29,R,20,47,FALSE
R2,28,R,20,47,FALSE
R3,0,R,20,47,FALSE
D2,0,D,20,47,FALSE
D1,43,D,20,47,FALSE
D3,0,D,20,47,FALSE
R1,28,R,20,48,FALSE
R2,26,R,20,48,FALSE
R3,0,R,20,48,FALSE
D2,0,D,20,48,FALSE
D1,46,D,20,48,FALSE
D3,0,D,20,48,FALSE
R1,26,R,20,49,FALSE
R2,23,R,20,49,FALSE
R3,0,R,20,49,FALSE
D2,0,D,20,49,FALSE
D1,51,D,20,49,FALSE
D3,0,D,20,49,FALSE
R1,23,R,20,50,FALSE
R2,25,R,20,50,FALSE
R3,0,R,20,50,FALSE
D2,0,D,20,50,FALSE
D1,52,D,20,50,FALSE
D3,0,D,20,50,FALSE
