Nest,NumAnts,NestType,Pheromone Strength,Simulation,
D2,0,D,0,24,FALSE
D4,1,D,0,24,FALSE
R1,0,R,0,25,FALSE
R2,2,R,0,25,FALSE
R3,0,R,0,25,FALSE
R4,1,R,0,25,FALSE
D1,1,D,0,25,FALSE
D3,0,D,0,25,FALSE
D2,0,D,0,25,FALSE
D4,0,D,0,25,FALSE
R1,0,R,0,26,FALSE
R2,1,R,0,26,FALSE
R3,0,R,0,26,FALSE
R4,0,R,0,26,FALSE
D1,0,D,0,26,FALSE
D3,0,D,0,26,FALSE
D2,0,D,0,26,FALSE
D4,2,D,0,26,FALSE
R1,0,R,0,27,FALSE
R2,0,R,0,27,FALSE
R3,3,R,0,27,FALSE
R4,1,R,0,27,FALSE
D1,0,D,0,27,FALSE
D3,0,D,0,27,FALSE
D2,0,D,0,27,FALSE
D4,0,D,0,27,FALSE
R1,0,R,0,28,FALSE
R2,0,R,0,28,FALSE
R3,0,R,0,28,FALSE
R4,2,R,0,28,FALSE
D1,1,D,0,28,FALSE
D3,1,D,0,28,FALSE
D2,0,D,0,28,FALSE
D4,2,D,0,28,FALSE
R1,2,R,0,29,FALSE
R2,0,R,0,29,FALSE
R3,0,R,0,29,FALSE
R4,1,R,0,29,FALSE
D1,0,D,0,29,FALSE
D3,0,D,0,29,FALSE
D2,1,D,0,29,FALSE
D4,0,D,0,29,FALSE
R1,0,R,0,30,FALSE
R2,1,R,0,30,FALSE
R3,2,R,0,30,FALSE
R4,0,R,0,30,FALSE
D1,1,D,0,30,FALSE
D3,1,D,0,30,FALSE
D2,0,D,0,30,FALSE
D4,0,D,0,30,FALSE
R1,1,R,0,31,FALSE
R2,1,R,0,31,FALSE
R3,0,R,0,31,FALSE
R4,1,R,0,31,FALSE
D1,0,D,0,31,FALSE
D3,0,D,0,31,FALSE
D2,0,D,0,31,FALSE
D4,0,D,0,31,FALSE
R1,0,R,0,32,FALSE
R2,1,R,0,32,FALSE
R3,0,R,0,32,FALSE
R4,0,R,0,32,FALSE
D1,2,D,0,32,FALSE
D3,0,D,0,32,FALSE
D2,0,D,0,32,FALSE
D4,1,D,0,32,FALSE
R1,0,R,0,33,FALSE
R2,0,R,0,33,FALSE
R3,0,R,0,33,FALSE
